"LINESTRING(-8198808.65993727 4061675.42801449,-8198808.6597864 4061675.42837911)"
"LINESTRING(-8198808.6597864 4061675.42837911,-8198808.65949253 4061675.42902191)"
"LINESTRING(-8198808.65949253 4061675.42902191,-8198808.65917449 4061675.42968945)"
"LINESTRING(-8198808.65917449 4061675.42968945,-8198808.65913485 4061675.42975936)"
"LINESTRING(-8198808.65913485 4061675.42975936,-8198808.65898939 4061675.43001599)"

"8.449802482610892,-8198808.91656077 4061675.75170145,-8198808.91704241 4061675.75154608"
"3.8918307340249516,-8198808.91704241 4061675.75154608,-8198808.91726378 4061675.75147308"
"4898.741792581051,-8198808.91726378 4061675.75147308,-8198808.63311784 4061675.67854997"
"14.132507105356808,-8198808.63311784 4061675.67854997,-8198808.633885 4061675.67819155"
"11.44406910194444,-8198808.633885 4061675.67819155,-8198808.63450262 4061675.67789365"
"3.3430119160489933,-8198808.63450262 4061675.67789365,-8198808.63468323 4061675.67780703"
"1.6161261498361517,-8198808.63468323 4061675.67780703,-8198808.63477906 4061675.67779364"
"1.079410696595411,-8198808.63477906 4061675.67779364,-8198808.63484274 4061675.67780467"
"3.979782350183977,-8198808.63484274 4061675.67780467,-8198808.63505953 4061675.67790396"
"3.3299442955433527,-8198808.63505953 4061675.67790396,-8198808.63523952 4061675.67799006"
"3.0862579060517468,-8198808.63523952 4061675.67799006,-8198808.63538597 4061675.67810323"
"2.2908657493606324,-8198808.63538597 4061675.67810323,-8198808.63548411 4061675.67819947"
"0.2554942785510525,-8198808.63548411 4061675.67819947,-8198808.63549507 4061675.67821019"
